"ID of id","nodeName","ID of elementtypeid","dimension","ID of componenttypeid"
34592,"Feature[]",12954,1,12954
37790,"Tag[]",37759,1,37759
38168,"Pinned[]",38136,1,38136
38207,"PreemptStatus[]",38175,1,38175
39501,"Wrapper[]",15409,1,15409
39561,"FieldTypeSignature[]",39560,1,39560
39702,"ClassTypeSignature[]",39701,1,39701
39708,"FormalTypeParameter[]",39707,1,39707
39775,"TypeSignature[]",39657,1,39657
39801,"TypeArgument[]",39736,1,39736
40065,"BaseLocale[]",29757,1,29757
