"ID of id","nodeName","signature","ID of typeid","ID of parentid","ID of sourceid"
10004,"ClassLoader","ClassLoader(java.lang.String,java.lang.ClassLoader)",71,9732,10004
10017,"ClassNotFoundException","ClassNotFoundException(java.lang.String,java.lang.Throwable)",71,7851,10017
10020,"ClassNotFoundException","ClassNotFoundException(java.lang.String)",71,7851,10020
10022,"ClassNotFoundException","ClassNotFoundException()",71,7851,10022
10478,"AbstractMap","AbstractMap()",71,9799,10478
10479,"AbstractMap<Identity,Entry<?>>","AbstractMap<Identity,Entry<?>>()",71,10044,10478
10587,"WeakHashMap","WeakHashMap(java.util.Map)",71,10041,10587
10589,"WeakHashMap<Identity,Entry<?>>","WeakHashMap<Identity,Entry<?>>(java.util.Map)",71,10040,10587
10591,"WeakHashMap","WeakHashMap()",71,10041,10591
10592,"WeakHashMap<Identity,Entry<?>>","WeakHashMap<Identity,Entry<?>>()",71,10040,10591
10593,"WeakHashMap","WeakHashMap(int)",71,10041,10593
10595,"WeakHashMap<Identity,Entry<?>>","WeakHashMap<Identity,Entry<?>>(int)",71,10040,10593
10597,"WeakHashMap","WeakHashMap(int,float)",71,10041,10597
10600,"WeakHashMap<Identity,Entry<?>>","WeakHashMap<Identity,Entry<?>>(int,float)",71,10040,10597
10671,"ClassValueMap","ClassValueMap()",71,9781,10671
10686,"Reference","Reference(java.lang.Object,java.lang.ref.ReferenceQueue)",71,7682,10686
10692,"Reference<Version<T>>","Reference<Version<T>>(java.lang.ClassValue.Version,java.lang.ref.ReferenceQueue)",71,10675,10686
10695,"Reference","Reference(java.lang.Object)",71,7682,10695
10697,"Reference<Version<T>>","Reference<Version<T>>(java.lang.ClassValue.Version)",71,10675,10695
10734,"WeakReference","WeakReference(java.lang.Object,java.lang.ref.ReferenceQueue)",71,10036,10734
10737,"WeakReference<Version<T>>","WeakReference<Version<T>>(java.lang.ClassValue.Version,java.lang.ref.ReferenceQueue)",71,10674,10734
10740,"WeakReference","WeakReference(java.lang.Object)",71,10036,10740
10742,"WeakReference<Version<T>>","WeakReference<Version<T>>(java.lang.ClassValue.Version)",71,10674,10740
10753,"Entry","Entry(java.lang.ClassValue.Version)",71,10027,10753
10755,"Entry","Entry(java.lang.ClassValue.Version,java.lang.Object)",71,10027,10755
10762,"Identity","Identity()",71,10025,10762
10771,"Version","Version(java.lang.ClassValue)",71,10031,10771
10802,"ClassValue","ClassValue()",71,10034,10802
10808,"CloneNotSupportedException","CloneNotSupportedException(java.lang.String)",71,7920,10808
10810,"CloneNotSupportedException","CloneNotSupportedException()",71,7920,10810
10900,"Double","Double(java.lang.String)",71,10847,10900
10907,"Double","Double(double)",71,10847,10907
11002,"DynamicConstantDesc","DynamicConstantDesc(java.lang.constant.DirectMethodHandleDesc,java.lang.String,java.lang.constant.ClassDesc,java.lang.constant.ConstantDesc[])",71,7899,11002
