"ID of fieldId","ID of fieldDeclId","pos"
2488,2484,0
2495,2491,0
2512,2580,0
2516,2574,0
2517,2568,0
2518,2562,0
2519,2556,0
2520,2551,0
2521,2544,0
2702,2745,0
2705,2739,0
2706,2733,0
2707,2727,0
2708,2721,0
2709,2716,0
3189,3198,0
3529,3586,0
3533,3581,0
3534,3576,0
3595,3597,0
4901,4924,0
5029,5050,0
5056,5077,0
5094,5113,0
6351,6427,0
6812,6808,0
7144,7147,0
7159,7173,0
7193,7205,0
7247,7270,0
