"ID of id","ID of parentid"
2484,2447
2491,2447
2544,2511
2551,2511
2556,2511
2562,2511
2568,2511
2574,2511
2580,2511
2716,2701
2721,2701
2727,2701
2733,2701
2739,2701
2745,2701
3198,3188
3576,3528
3581,3528
3586,3528
3597,3530
4924,4900
5050,5028
5077,5055
5113,5093
6427,6350
6808,6801
7147,7134
7173,7158
7205,7188
7270,7246
