"ID of id","ID of typeid","pos","ID of parentid"
32269,32265,0,32268
32274,32265,0,32273
32317,32313,0,32316
32322,32313,0,32321
32330,32326,0,32329
32338,32334,0,32337
32343,32334,0,32342
32587,32000,0,32586
32629,32626,0,32628
32644,32641,0,32643
32659,32656,0,32658
32675,32672,0,32674
32924,32920,0,32923
32926,32921,0,32925
32946,32938,0,32945
32948,32941,0,32947
32962,32954,0,32961
32977,32970,0,32976
32988,32981,0,32987
32994,32991,0,32993
33072,33060,0,33071
33074,33067,0,33073
33083,33078,0,33082
33085,33059,0,33084
33234,33229,0,33233
33243,33224,0,33242
33294,33286,0,33293
33302,33286,0,33301
33388,1012,0,33387
33603,27166,0,33602
33620,33615,0,33619
33737,8893,0,33736
33752,33747,0,33751
33870,27173,0,33869
33887,33882,0,33886
33901,33897,0,33900
33935,33930,0,33934
33945,33940,0,33944
33955,33949,0,33954
34006,33916,0,34005
34092,28933,0,34091
34098,29858,0,34097
34104,29452,0,34103
34117,34114,0,34116
34138,34133,0,34137
34142,34139,0,34141
34163,34158,0,34162
34199,22085,0,34198
34269,22085,0,34268
34374,11085,0,34373
35718,35720,0,35717
35722,35723,0,35721
35726,35717,0,35725
35746,35748,0,35745
35751,35745,0,35750
35772,35774,0,35771
35776,35777,0,35775
35779,35780,0,35778
35783,35771,0,35782
35804,35806,0,35803
35808,35809,0,35807
35812,35803,0,35811
37713,37709,0,37712
38297,38272,0,38296
38308,13068,0,38307
38395,35706,0,38394
38397,38398,0,38396
38407,38408,0,38406
38410,38398,0,38409
38418,35706,0,38417
38420,38421,0,38419
38429,38408,0,38428
38431,38421,0,38430
38438,35706,0,38437
38440,38421,0,38439
38447,38408,0,38446
38449,38421,0,38448
38451,38398,0,38450
38462,38408,0,38461
38464,38421,0,38463
38466,38398,0,38465
38478,38408,0,38477
38480,38398,0,38479
38488,38421,0,38487
38490,38491,0,38489
38505,38408,0,38504
38507,38491,0,38506
38512,38408,0,38511
38514,38398,0,38513
38522,35706,0,38521
38532,38408,0,38531
38534,38398,0,38533
38546,38408,0,38545
38548,38398,0,38547
38558,38408,0,38557
38560,38398,0,38559
38568,38408,0,38567
38576,38408,0,38575
38588,38408,0,38587
38590,38398,0,38589
38599,38408,0,38598
38601,38398,0,38600
38610,38408,0,38609
38612,38398,0,38611
38622,35706,0,38621
38624,35706,0,38623
38626,38421,0,38625
38637,38398,0,38636
38649,38408,0,38648
38651,38491,0,38650
38653,38398,0,38652
38673,38675,0,38672
38679,38672,0,38678
38689,35706,0,38688
38695,38697,0,38694
38699,38700,0,38698
38704,38694,0,38703
38708,38698,0,38707
38721,35706,0,38720
38723,35706,0,38722
38725,38421,0,38724
38741,38743,0,38740
38745,38746,0,38744
38750,38740,0,38749
38754,38744,0,38753
38768,38770,0,38767
38772,38773,0,38771
38776,38767,0,38775
38792,38794,0,38791
38796,38797,0,38795
38799,38800,0,38798
38803,38791,0,38802
38821,38823,0,38820
38825,38826,0,38824
38830,38820,0,38829
38845,38847,0,38844
38862,38864,0,38861
38866,38867,0,38865
38869,38870,0,38868
38873,38861,0,38872
38882,38867,0,38881
38899,38901,0,38898
38903,38904,0,38902
38907,38898,0,38906
38926,35706,0,38925
38942,38408,0,38941
38944,38867,0,38943
38946,38948,0,38945
38950,38951,0,38949
38954,38941,0,38953
38977,38408,0,38976
38980,38981,0,38979
38983,38984,0,38982
38987,38976,0,38986
39007,35706,0,39006
39010,39011,0,39009
39014,39006,0,39013
39030,39032,0,39029
39034,39035,0,39033
39039,39029,0,39038
39043,39033,0,39042
39058,35706,0,39057
39060,39062,0,39059
39066,39057,0,39065
39070,39059,0,39069
39084,39086,0,39083
39088,39089,0,39087
39093,39083,0,39092
39097,39087,0,39096
39110,39112,0,39109
39115,39109,0,39114
39129,39131,0,39128
39134,39128,0,39133
39147,39149,0,39146
39151,39152,0,39150
39156,39146,0,39155
39160,39150,0,39159
39173,39175,0,39172
39177,39178,0,39176
39181,39172,0,39180
39194,39196,0,39193
39198,39199,0,39197
39202,39196,0,39201
39208,39197,0,39207
39219,39220,0,39218
39222,39223,0,39221
39228,39221,0,39227
39241,35706,0,39240
39243,39245,0,39242
39248,39240,0,39247
39582,39583,0,39581
39637,39629,0,39627
