"ID of id","nodeName","ID of typeid","ID of parentid","ID of sourceid"
8434,"SC_WRITE_METHOD",788,8019,8434
8435,"baseWireHandle",87,8019,8435
8436,"TC_MAX",788,8019,8436
8437,"TC_ENUM",788,8019,8437
8438,"TC_PROXYCLASSDESC",788,8019,8438
8439,"TC_LONGSTRING",788,8019,8439
8440,"TC_EXCEPTION",788,8019,8440
8441,"TC_BLOCKDATALONG",788,8019,8441
8442,"TC_RESET",788,8019,8442
8443,"TC_ENDBLOCKDATA",788,8019,8443
8444,"TC_BLOCKDATA",788,8019,8444
8445,"TC_CLASS",788,8019,8445
8446,"TC_ARRAY",788,8019,8446
8447,"TC_STRING",788,8019,8447
8448,"TC_OBJECT",788,8019,8448
8449,"TC_CLASSDESC",788,8019,8449
8450,"TC_REFERENCE",788,8019,8450
8451,"TC_NULL",788,8019,8451
8452,"TC_BASE",788,8019,8452
8453,"STREAM_VERSION",7463,8019,8453
8454,"STREAM_MAGIC",7463,8019,8454
8513,"eof",88,8506,8513
8514,"length",87,8506,8514
8770,"out",8652,7442,8770
8810,"lock",79,7440,8810
8877,"lock",79,8652,8877
9036,"count",87,8878,9036
9037,"maybeLatin1",88,8878,9037
9038,"coder",788,8878,9038
9039,"value",7475,8878,9039
9113,"TYPE",9112,396,9113
9114,"FALSE",396,396,9114
9115,"TRUE",396,396,9115
9385,"BYTES",87,9131,9385
9386,"SIZE",87,9131,9386
9387,"MAX_CODE_POINT",87,9131,9387
9388,"MIN_CODE_POINT",87,9131,9388
9389,"MIN_SUPPLEMENTARY_CODE_POINT",87,9131,9389
9390,"MAX_SURROGATE",7422,9131,9390
9391,"MIN_SURROGATE",7422,9131,9391
9392,"MAX_LOW_SURROGATE",7422,9131,9392
9393,"MIN_LOW_SURROGATE",7422,9131,9393
9394,"MAX_HIGH_SURROGATE",7422,9131,9394
9395,"MIN_HIGH_SURROGATE",7422,9131,9395
9396,"DIRECTIONALITY_POP_DIRECTIONAL_ISOLATE",788,9131,9396
9397,"DIRECTIONALITY_FIRST_STRONG_ISOLATE",788,9131,9397
9398,"DIRECTIONALITY_RIGHT_TO_LEFT_ISOLATE",788,9131,9398
9399,"DIRECTIONALITY_LEFT_TO_RIGHT_ISOLATE",788,9131,9399
9400,"DIRECTIONALITY_POP_DIRECTIONAL_FORMAT",788,9131,9400
9401,"DIRECTIONALITY_RIGHT_TO_LEFT_OVERRIDE",788,9131,9401
9402,"DIRECTIONALITY_RIGHT_TO_LEFT_EMBEDDING",788,9131,9402
9403,"DIRECTIONALITY_LEFT_TO_RIGHT_OVERRIDE",788,9131,9403
9404,"DIRECTIONALITY_LEFT_TO_RIGHT_EMBEDDING",788,9131,9404
9405,"DIRECTIONALITY_OTHER_NEUTRALS",788,9131,9405
9406,"DIRECTIONALITY_WHITESPACE",788,9131,9406
9407,"DIRECTIONALITY_SEGMENT_SEPARATOR",788,9131,9407
9408,"DIRECTIONALITY_PARAGRAPH_SEPARATOR",788,9131,9408
9409,"DIRECTIONALITY_BOUNDARY_NEUTRAL",788,9131,9409
9410,"DIRECTIONALITY_NONSPACING_MARK",788,9131,9410
9411,"DIRECTIONALITY_COMMON_NUMBER_SEPARATOR",788,9131,9411
9412,"DIRECTIONALITY_ARABIC_NUMBER",788,9131,9412
9413,"DIRECTIONALITY_EUROPEAN_NUMBER_TERMINATOR",788,9131,9413
9414,"DIRECTIONALITY_EUROPEAN_NUMBER_SEPARATOR",788,9131,9414
9415,"DIRECTIONALITY_EUROPEAN_NUMBER",788,9131,9415
9416,"DIRECTIONALITY_RIGHT_TO_LEFT_ARABIC",788,9131,9416
9417,"DIRECTIONALITY_RIGHT_TO_LEFT",788,9131,9417
9418,"DIRECTIONALITY_LEFT_TO_RIGHT",788,9131,9418
9419,"DIRECTIONALITY_UNDEFINED",788,9131,9419
9420,"ERROR",87,9131,9420
9421,"FINAL_QUOTE_PUNCTUATION",788,9131,9421
9422,"INITIAL_QUOTE_PUNCTUATION",788,9131,9422
9423,"OTHER_SYMBOL",788,9131,9423
9424,"MODIFIER_SYMBOL",788,9131,9424
9425,"CURRENCY_SYMBOL",788,9131,9425
9426,"MATH_SYMBOL",788,9131,9426
9427,"OTHER_PUNCTUATION",788,9131,9427
9428,"CONNECTOR_PUNCTUATION",788,9131,9428
9429,"END_PUNCTUATION",788,9131,9429
9430,"START_PUNCTUATION",788,9131,9430
9431,"DASH_PUNCTUATION",788,9131,9431
9432,"SURROGATE",788,9131,9432
9433,"PRIVATE_USE",788,9131,9433
9434,"FORMAT",788,9131,9434
9435,"CONTROL",788,9131,9435
9436,"PARAGRAPH_SEPARATOR",788,9131,9436
9437,"LINE_SEPARATOR",788,9131,9437
9438,"SPACE_SEPARATOR",788,9131,9438
9439,"OTHER_NUMBER",788,9131,9439
9440,"LETTER_NUMBER",788,9131,9440
9441,"DECIMAL_DIGIT_NUMBER",788,9131,9441
9442,"COMBINING_SPACING_MARK",788,9131,9442
9443,"ENCLOSING_MARK",788,9131,9443
9444,"NON_SPACING_MARK",788,9131,9444
9445,"OTHER_LETTER",788,9131,9445
9446,"MODIFIER_LETTER",788,9131,9446
9447,"TITLECASE_LETTER",788,9131,9447
9448,"LOWERCASE_LETTER",788,9131,9448
9449,"UPPERCASE_LETTER",788,9131,9449
9450,"UNASSIGNED",788,9131,9450
9452,"TYPE",9451,9131,9452
9453,"MAX_VALUE",7422,9131,9453
9454,"MIN_VALUE",7422,9131,9454
9455,"MAX_RADIX",87,9131,9455
9456,"MIN_RADIX",87,9131,9456
9470,"length",87,9469,9470
9473,"length",87,9472,9473
9477,"length",87,9476,9477
9497,"length",87,9496,9497
9513,"length",87,9512,9513
9520,"length",87,9519,9520
9534,"length",87,9533,9534
9559,"length",87,9558,9559
9616,"length",87,9615,9616
9619,"length",87,9618,9619
9624,"length",87,9623,9624
9629,"length",87,9628,9629
9636,"length",87,9635,9636
9641,"length",87,9640,9641
9701,"length",87,9700,9701
9716,"length",87,9715,9716
9722,"length",87,9721,9722
9727,"length",87,9726,9727
9780,"classValueMap",9781,3279,9780
9838,"length",87,9837,9838
10010,"classAssertionStatus",10009,9732,10010
10011,"assertionLock",79,9732,10011
10067,"length",87,10066,10067
10070,"length",87,10069,10070
10083,"length",87,10082,10083
10480,"values",10433,9799,10480
10481,"keySet",10437,9799,10481
10603,"modCount",87,10041,10603
10604,"table",10608,10041,10604
10606,"length",87,10605,10606
10609,"length",87,10608,10609
10613,"length",87,10612,10613
10616,"length",87,10615,10616
10629,"length",87,10628,10629
10727,"next",10262,7682,10727
10729,"queue",10682,7682,10729
10758,"DEAD_ENTRY",10026,10027,10758
10759,"value",79,10027,10759
10803,"identity",10025,10034,10803
10804,"HASH_MASK",87,10034,10804
10805,"hashCodeForCache",87,10034,10805
10822,"RUNTIME",10819,10819,10822
10827,"length",87,10826,10827
10832,"CONSTRUCTOR",10825,10825,10832
10834,"FIELD",10825,10825,10834
10836,"LOCAL_VARIABLE",10825,10825,10836
10838,"METHOD",10825,10825,10838
10840,"PACKAGE",10825,10825,10840
10842,"MODULE",10825,10825,10842
10844,"PARAMETER",10825,10825,10844
10846,"TYPE",10825,10825,10846
10933,"TYPE",10932,10847,10933
10934,"BYTES",87,10847,10934
10935,"MIN_EXPONENT",87,10847,10935
10936,"MAX_EXPONENT",87,10847,10936
10937,"PRECISION",87,10847,10937
10938,"SIZE",87,10847,10938
10939,"MIN_VALUE",477,10847,10939
10940,"MIN_NORMAL",477,10847,10940
10941,"MAX_VALUE",477,10847,10941
10942,"NaN",477,10847,10942
10943,"NEGATIVE_INFINITY",477,10847,10943
10944,"POSITIVE_INFINITY",477,10847,10944
10968,"length",87,10967,10968
11052,"serialVersionUID",2854,11036,11052
11068,"serialVersionUID",2854,2791,11068
11105,"serialVersionUID",2854,11094,11105
11277,"BYTES",87,374,11277
11278,"SIZE",87,374,11278
11279,"sizeTable",132,374,11279
11280,"DigitOnes",7475,374,11280
11281,"DigitTens",7475,374,11281
11282,"digits",7423,374,11282
11284,"TYPE",11283,374,11284
11285,"MAX_VALUE",87,374,11285
11482,"BYTES",87,11311,11482
11483,"SIZE",87,11311,11483
11485,"TYPE",11484,11311,11485
11486,"MAX_VALUE",2854,11311,11486
11487,"MIN_VALUE",2854,11311,11487
11707,"serialVersionUID",2854,10905,11707
11739,"SOURCE",10819,10819,11739
11763,"length",87,11762,11763
11777,"length",87,11776,11777
11834,"serialVersionUID",2854,10014,11834
11854,"serialVersionUID",2854,11085,11854
11976,"length",87,11975,11976
12042,"length",87,12041,12042
12045,"LOCALS_AND_OPERANDS",12010,12010,12045
12078,"length",87,12077,12078
12081,"SHOW_HIDDEN_FRAMES",12046,12046,12081
12082,"SHOW_REFLECT_FRAMES",12046,12046,12082
12083,"RETAIN_CLASS_REFERENCE",12046,12046,12083
12161,"retainClassRef",88,11970,12161
12171,"DEFAULT_EMPTY_OPTION",12162,11970,12171
12301,"length",87,12300,12301
12506,"UTF16",788,157,12506
12507,"LATIN1",788,157,12507
12510,"CASE_INSENSITIVE_ORDER",12508,157,12510
12511,"COMPACT_STRINGS",88,157,12511
12668,"serialVersionUID",2854,8993,12668
12781,"serialVersionUID",2854,5242,12781
12817,"length",87,12816,12817
12820,"OFF",12782,12782,12820
12821,"ERROR",12782,12782,12821
12822,"WARNING",12782,12782,12822
12823,"INFO",12782,12782,12823
12824,"DEBUG",12782,12782,12824
12825,"TRACE",12782,12782,12825
12826,"ALL",12782,12782,12826
12943,"bootLayer",11506,290,12943
12944,"err",284,290,12944
12945,"in",7755,290,12945
12957,"VIRTUAL_THREADS",12954,12954,12957
13052,"length",87,13051,13052
13055,"TERMINATED",13020,13020,13055
13056,"TIMED_WAITING",13020,13020,13056
13057,"WAITING",13020,13020,13057
13058,"BLOCKED",13020,13020,13058
13059,"RUNNABLE",13020,13020,13059
13060,"NEW",13020,13020,13060
13096,"length",87,13095,13096
13267,"threadLocalRandomSecondarySeed",87,2797,13267
13268,"threadLocalRandomProbe",87,2797,13268
13269,"threadLocalRandomSeed",2854,2797,13269
13270,"NO_INHERIT_THREAD_LOCALS",87,2797,13270
13271,"NO_THREAD_LOCALS",87,2797,13271
13272,"MAX_PRIORITY",87,2797,13272
13273,"NORM_PRIORITY",87,2797,13273
13274,"MIN_PRIORITY",87,2797,13274
13275,"nioBlocker",13259,2797,13275
13276,"interruptLock",79,2797,13276
13277,"inheritableThreadLocals",6375,2797,13277
13278,"threadLocals",6375,2797,13278
13279,"interrupted",88,2797,13279
13311,"length",87,13310,13311
13367,"NOT_SUPPORTED",6375,6375,13367
13372,"length",87,13371,13372
13423,"serialVersionUID",2854,8325,13423
13438,"TYPE",13437,12205,13438
13450,"serialVersionUID",2854,13439,13450
13468,"ANNOTATION_TYPE",10825,10825,13468
13500,"RECORD_COMPONENT",10825,10825,13500
13501,"TYPE_USE",10825,10825,13501
13502,"TYPE_PARAMETER",10825,10825,13502
13542,"length",87,13541,13542
13545,"CLASS",10819,10819,13545
13635,"length",87,13634,13635
13638,"isInterface",88,13597,13638
13639,"refKind",87,13597,13639
13640,"STATIC_SETTER",13597,13597,13640
13641,"STATIC_GETTER",13597,13597,13641
13642,"SETTER",13597,13597,13642
13643,"GETTER",13597,13597,13643
13644,"CONSTRUCTOR",13597,13597,13644
13645,"INTERFACE_SPECIAL",13597,13597,13645
13646,"SPECIAL",13597,13597,13646
13647,"INTERFACE_VIRTUAL",13597,13597,13647
13648,"VIRTUAL",13597,13597,13648
13649,"INTERFACE_STATIC",13597,13597,13649
13650,"STATIC",13597,13597,13650
13669,"length",87,13668,13669
13696,"length",87,13695,13696
13701,"length",87,13700,13701
13704,"length",87,13703,13704
13739,"length",87,13738,13739
13814,"cachedSize",2854,13777,13814
13817,"alignment",2854,13777,13817
13823,"FOREIGN",12954,12954,13823
13867,"length",87,13866,13867
13870,"sizeOp",13871,13827,13870
13872,"delimTag",157,13827,13872
13873,"UNION",13827,13827,13873
13874,"STRUCT",13827,13827,13874
14077,"NULL",13825,13825,14077
14098,"length",87,14097,14098
14121,"length",87,14120,14121
14349,"length",87,14348,14349
14354,"length",87,14353,14354
14359,"length",87,14358,14359
14366,"length",87,14365,14366
14790,"JAVA_DOUBLE",13919,14109,14790
14791,"JAVA_FLOAT",13939,14109,14791
14792,"JAVA_LONG",13929,14109,14792
14793,"JAVA_INT",13949,14109,14793
14794,"JAVA_SHORT",13959,14109,14794
14795,"JAVA_CHAR",13969,14109,14795
14796,"JAVA_BOOLEAN",14042,14109,14796
14797,"JAVA_BYTE",14052,14109,14797
14798,"ADDRESS",13909,14109,14798
14979,"TN_COPY_NO_EXTEND",87,14891,14979
14980,"BMH_TRANSFORMS",14938,14891,14980
15151,"SPECIALIZER",14891,14802,15151
15181,"target",8298,15152,15181
15257,"NF_LIMIT",788,15183,15257
15258,"NF_checkReceiver",788,15183,15258
15259,"NF_UNSAFE",788,15183,15259
15260,"NF_constructorMethod",788,15183,15260
15261,"NF_allocateInstance",788,15183,15261
15262,"NF_checkCast",788,15183,15262
15263,"NF_staticOffset",788,15183,15263
15264,"NF_staticBase",788,15183,15264
15265,"NF_checkBase",788,15183,15265
15266,"NF_fieldOffset",788,15183,15266
15267,"NF_ensureInitialized",788,15183,15267
15268,"NF_internalMemberNameEnsureInit",788,15183,15268
15269,"NF_internalMemberName",788,15183,15269
15270,"FT_LIMIT",87,15183,15270
15271,"FT_CHECKED_REF",87,15183,15271
15272,"FT_UNCHECKED_REF",87,15183,15272
15273,"FT_LAST_WRAPPER",87,15183,15273
15274,"AF_LIMIT",788,15183,15274
15275,"AF_PUTSTATIC_INIT",788,15183,15275
15276,"AF_GETSTATIC_INIT",788,15183,15276
15277,"AF_PUTSTATIC",788,15183,15277
15278,"AF_GETSTATIC",788,15183,15278
15279,"AF_PUTFIELD",788,15183,15279
15280,"AF_GETFIELD",788,15183,15280
15281,"crackable",88,15183,15281
15282,"member",14937,15183,15282
15355,"INV_LIMIT",87,15283,15355
15356,"VH_INV_GENERIC",87,15283,15356
15357,"VH_INV_EXACT",87,15283,15357
15358,"INV_BASIC",87,15283,15358
15359,"INV_GENERIC",87,15283,15359
15360,"INV_EXACT",87,15283,15360
15398,"length",87,15397,15398
15416,"btWrapper",15409,15142,15416
15417,"btClass",3285,15142,15417
15418,"btChar",7422,15142,15418
15419,"V_TYPE_NUM",788,15142,15419
15420,"D_TYPE_NUM",788,15142,15420
15421,"F_TYPE_NUM",788,15142,15421
15422,"J_TYPE_NUM",788,15142,15422
15423,"I_TYPE_NUM",788,15142,15423
15424,"L_TYPE_NUM",788,15142,15424
15425,"TYPE_LIMIT",87,15142,15425
15426,"ARG_TYPE_LIMIT",87,15142,15426
15427,"ARG_TYPES",15397,15142,15427
15431,"ALL_TYPES",15397,15142,15431
15433,"V_TYPE",15142,15142,15433
15434,"D_TYPE",15142,15142,15434
15435,"F_TYPE",15142,15142,15435
15436,"J_TYPE",15142,15142,15436
15437,"I_TYPE",15142,15142,15437
15438,"L_TYPE",15142,15142,15438
15471,"length",87,15470,15471
15474,"methodName",157,15439,15474
15475,"defaultLambdaName",157,15439,15475
15476,"VARHANDLE_LINKER",15439,15439,15476
15477,"VARHANDLE_INVOKER",15439,15439,15477
15478,"VARHANDLE_EXACT_INVOKER",15439,15439,15478
15479,"GUARD_WITH_CATCH",15439,15439,15479
15480,"GUARD",15439,15439,15480
15481,"FIELD",15439,15439,15481
15482,"LOOP",15439,15439,15482
15483,"SPREAD",15439,15439,15483
15484,"CONVERT",15439,15439,15484
15485,"COLLECTOR",15439,15439,15485
15486,"COLLECT",15439,15439,15486
15487,"TABLE_SWITCH",15439,15439,15487
15488,"TRY_FINALLY",15439,15439,15488
15489,"PUT_DOUBLE_VOLATILE",15439,15439,15489
15490,"GET_DOUBLE_VOLATILE",15439,15439,15490
15491,"PUT_DOUBLE",15439,15439,15491
15492,"GET_DOUBLE",15439,15439,15492
15493,"PUT_FLOAT_VOLATILE",15439,15439,15493
15494,"GET_FLOAT_VOLATILE",15439,15439,15494
15495,"PUT_FLOAT",15439,15439,15495
15496,"GET_FLOAT",15439,15439,15496
15497,"PUT_LONG_VOLATILE",15439,15439,15497
15498,"GET_LONG_VOLATILE",15439,15439,15498
15499,"PUT_LONG",15439,15439,15499
15500,"GET_LONG",15439,15439,15500
15501,"PUT_SHORT_VOLATILE",15439,15439,15501
15502,"GET_SHORT_VOLATILE",15439,15439,15502
15503,"PUT_SHORT",15439,15439,15503
15504,"GET_SHORT",15439,15439,15504
15505,"PUT_CHAR_VOLATILE",15439,15439,15505
15506,"GET_CHAR_VOLATILE",15439,15439,15506
15507,"PUT_CHAR",15439,15439,15507
15508,"GET_CHAR",15439,15439,15508
15509,"PUT_BYTE_VOLATILE",15439,15439,15509
15510,"GET_BYTE_VOLATILE",15439,15439,15510
15511,"PUT_BYTE",15439,15439,15511
15512,"GET_BYTE",15439,15439,15512
15513,"PUT_BOOLEAN_VOLATILE",15439,15439,15513
15514,"GET_BOOLEAN_VOLATILE",15439,15439,15514
15515,"PUT_BOOLEAN",15439,15439,15515
15516,"GET_BOOLEAN",15439,15439,15516
15517,"PUT_INT_VOLATILE",15439,15439,15517
15518,"GET_INT_VOLATILE",15439,15439,15518
15519,"PUT_INT",15439,15439,15519
15520,"GET_INT",15439,15439,15520
15521,"PUT_REFERENCE_VOLATILE",15439,15439,15521
15522,"GET_REFERENCE_VOLATILE",15439,15439,15522
15523,"PUT_REFERENCE",15439,15439,15523
15524,"GET_REFERENCE",15439,15439,15524
15525,"DIRECT_INVOKE_STATIC_INIT",15439,15439,15525
15526,"DIRECT_INVOKE_INTERFACE",15439,15439,15526
15527,"DIRECT_NEW_INVOKE_SPECIAL",15439,15439,15527
15528,"DIRECT_INVOKE_STATIC",15439,15439,15528
15529,"DIRECT_INVOKE_SPECIAL_IFC",15439,15439,15529
15530,"DIRECT_INVOKE_SPECIAL",15439,15439,15530
15531,"DIRECT_INVOKE_VIRTUAL",15439,15439,15531
15532,"LINK_TO_CALL_SITE",15439,15439,15532
15533,"LINK_TO_TARGET_METHOD",15439,15439,15533
15534,"GENERIC_INVOKER",15439,15439,15534
15535,"GENERIC_LINKER",15439,15439,15535
15536,"EXACT_INVOKER",15439,15439,15536
15537,"EXACT_LINKER",15439,15439,15537
15538,"DELEGATE",15439,15439,15538
15539,"REINVOKER",15439,15439,15539
15540,"BOUND_REINVOKER",15439,15439,15540
15541,"IDENTITY",15439,15439,15541
15542,"ZERO",15439,15439,15542
15543,"GENERIC",15439,15439,15543
15569,"length",87,15568,15569
15607,"arguments",1090,15230,15607
15609,"constraint",79,15230,15609
15610,"function",14864,15230,15610
15611,"index",7463,15230,15611
15613,"type",15142,15230,15613
15654,"INVOKER_METHOD_TYPE",11964,14864,15654
15655,"invoker",8298,14864,15655
15657,"member",14937,14864,15657
15783,"INTERNED_ARGUMENT_LIMIT",87,15086,15783
15784,"LAST_RESULT",87,15086,15784
15785,"VOID_RESULT",87,15086,15785
15786,"transformCache",79,15086,15786
15787,"vmentry",14937,15086,15787
15788,"kind",15439,15086,15788
15789,"names",15568,15086,15789
15791,"customized",8298,15086,15791
15792,"forceInline",88,15086,15792
15793,"result",87,15086,15793
15794,"arity",87,15086,15794
15870,"lambdaForm",15086,15140,15870
15924,"INSTANCE",15871,15871,15924
16046,"SEARCH_ALL_SUPERS",87,14937,16046
16047,"IS_FIELD_OR_METHOD",87,14937,16047
16048,"IS_INVOCABLE",87,14937,16048
16049,"ALL_KINDS",87,14937,16049
16050,"ALL_ACCESS",87,14937,16050
16051,"TRUSTED_FINAL",87,14937,16051
16052,"CALLER_SENSITIVE",87,14937,16052
16053,"IS_TYPE",87,14937,16053
16054,"IS_FIELD",87,14937,16054
16055,"IS_CONSTRUCTOR",87,14937,16055
16056,"IS_METHOD",87,14937,16056
16057,"RECOGNIZED_MODIFIERS",87,14937,16057
16058,"CONSTRUCTOR_NAME",157,14937,16058
16059,"ENUM",87,14937,16059
16060,"ANNOTATION",87,14937,16060
16061,"SYNTHETIC",87,14937,16061
16062,"VARARGS",87,14937,16062
16063,"BRIDGE",87,14937,16063
16064,"resolution",79,14937,16064
16196,"form",15086,8298,16196
16238,"length",87,16237,16238
16241,"LENGTH",16197,16197,16241
16242,"SET",16197,16197,16242
16243,"GET",16197,16197,16243
16248,"length",87,16247,16248
16252,"cases",16247,16244,16252
16287,"length",87,16286,16287
16290,"NONE",15618,15618,16290
16291,"ZERO",15618,15618,16291
16292,"IDENTITY",15618,15618,16292
16293,"ARRAY_LENGTH",15618,15618,16293
16294,"ARRAY_STORE",15618,15618,16294
16295,"ARRAY_LOAD",15618,15618,16295
16296,"LOOP",15618,15618,16296
16297,"TABLE_SWITCH",15618,15618,16297
16298,"TRY_FINALLY",15618,15618,16298
16299,"GUARD_WITH_CATCH",15618,15618,16299
16300,"SELECT_ALTERNATIVE",15618,15618,16300
16307,"length",87,16306,16307
16311,"clauses",16306,16301,16311
16478,"MH_LIMIT",87,16225,16478
16479,"MH_VarHandles_handleCheckedExceptions",87,16225,16479
16480,"MH_Array_newInstance",87,16225,16480
16481,"MH_iterateNext",87,16225,16481
16482,"MH_iteratePred",87,16225,16482
16483,"MH_initIterator",87,16225,16483
16484,"MH_countedLoopStep",87,16225,16484
16485,"MH_countedLoopPred",87,16225,16485
16486,"MH_selectAlternative",87,16225,16486
16487,"MH_cast",87,16225,16487
16488,"NF_LIMIT",788,16225,16488
16489,"NF_tableSwitch",788,16225,16489
16490,"NF_profileBoolean",788,16225,16490
16491,"NF_loop",788,16225,16491
16492,"NF_tryFinally",788,16225,16492
16493,"NF_throwException",788,16225,16493
16494,"NF_guardWithCatch",788,16225,16494
16495,"NF_checkSpreadArgument",788,16225,16495
16496,"MAX_JVM_ARITY",87,16225,16496
16497,"FAKE_METHOD_HANDLE_INVOKE",16247,16225,16497
16520,"REF_invokeInterface",87,16498,16520
16521,"REF_newInvokeSpecial",87,16498,16521
16522,"REF_invokeSpecial",87,16498,16522
16523,"REF_invokeStatic",87,16498,16523
16524,"REF_invokeVirtual",87,16498,16524
16525,"REF_putStatic",87,16498,16525
16526,"REF_putField",87,16498,16526
16527,"REF_getStatic",87,16498,16527
16528,"REF_getField",87,16498,16528
16581,"length",87,16580,16581
16584,"STRONG",16544,16544,16584
16585,"NESTMATE",16544,16544,16585
16799,"LOOKASIDE_TABLE",16795,10856,16799
16800,"PUBLIC_LOOKUP",10856,10856,16800
16801,"IMPL_LOOKUP",10856,10856,16801
16802,"ORIGINAL",87,10856,16802
16803,"UNCONDITIONAL",87,10856,16803
16804,"MODULE",87,10856,16804
16805,"PACKAGE",87,10856,16805
16806,"PROTECTED",87,10856,16806
16807,"PRIVATE",87,10856,16807
16808,"PUBLIC",87,10856,16808
17062,"IMPL_NAMES",15871,16588,17062
17211,"NO_PTYPES",9476,11964,17211
17213,"internTable",17212,11964,17213
17214,"MAX_MH_INVOKER_ARITY",87,11964,17214
17215,"MAX_MH_ARITY",87,11964,17215
17216,"MAX_JVM_ARITY",87,11964,17216
17249,"UNWRAP",87,17205,17249
17250,"WRAP",87,17205,17250
17251,"ERASE",87,17205,17251
17252,"LF_LIMIT",87,17205,17252
17253,"LF_COLLECTOR",87,17205,17253
17254,"LF_VH_GEN_LINKER",87,17205,17254
17255,"LF_VH_GEN_INVOKER",87,17205,17255
17256,"LF_VH_EX_INVOKER",87,17205,17256
17257,"LF_INVNATIVE",87,17205,17257
17258,"LF_INVSPECIAL_IFC",87,17205,17258
17259,"LF_LOOP",87,17205,17259
17260,"LF_TF",87,17205,17260
17261,"LF_GWT",87,17205,17261
17262,"LF_GWC",87,17205,17262
17263,"LF_MH_LINKER",87,17205,17263
17264,"LF_CS_LINKER",87,17205,17264
17265,"LF_GEN_INVOKER",87,17205,17265
17266,"LF_GEN_LINKER",87,17205,17266
17267,"LF_EX_INVOKER",87,17205,17267
17268,"LF_EX_LINKER",87,17205,17268
17269,"LF_DELEGATE_BLOCK_INLINING",87,17205,17269
17270,"LF_DELEGATE",87,17205,17270
17271,"LF_REBIND",87,17205,17271
17272,"LF_INTERPRET",87,17205,17272
17273,"LF_INVSTATIC_INIT",87,17205,17273
17274,"LF_INVINTERFACE",87,17205,17274
17275,"LF_NEWINVSPECIAL",87,17205,17275
17276,"LF_INVSPECIAL",87,17205,17276
17277,"LF_INVSTATIC",87,17205,17277
17278,"LF_INVVIRTUAL",87,17205,17278
17279,"lambdaForms",17288,17205,17279
17282,"length",87,17281,17282
17289,"length",87,17288,17289
17291,"MH_LIMIT",87,17205,17291
17292,"MH_UNINIT_CS",87,17205,17292
17293,"MH_NF_INV",87,17205,17293
17294,"MH_BASIC_INV",87,17205,17294
17295,"methodHandles",17298,17205,17295
17299,"length",87,17298,17299
17301,"basicType",11964,17205,17301
17302,"erasedType",11964,17205,17302
17303,"primitiveCount",7463,17205,17303
17304,"parameterSlotCount",7463,17205,17304
17318,"length",87,17317,17318
17345,"methodType_V_table",17317,17311,17345
17347,"memberName_table",17348,17311,17347
17349,"length",87,17348,17349
17352,"methodType_table",17317,17311,17352
17354,"implClass",3285,17311,17354
17361,"mode",87,15319,17361
17362,"type",87,15319,17362
17363,"returnType",3285,15319,17363
17364,"symbolicMethodTypeInvoker",11964,15319,17364
17365,"symbolicMethodTypeErased",11964,15319,17365
17366,"symbolicMethodTypeExact",11964,15319,17366
17401,"length",87,17400,17401
17404,"at",17405,15345,17404
17406,"methodName",157,15345,17406
17407,"COUNT",87,15345,17407
17408,"GET_AND_BITWISE_XOR_ACQUIRE",15345,15345,17408
17409,"GET_AND_BITWISE_XOR_RELEASE",15345,15345,17409
17410,"GET_AND_BITWISE_XOR",15345,15345,17410
17411,"GET_AND_BITWISE_AND_ACQUIRE",15345,15345,17411
17412,"GET_AND_BITWISE_AND_RELEASE",15345,15345,17412
17413,"GET_AND_BITWISE_AND",15345,15345,17413
17414,"GET_AND_BITWISE_OR_ACQUIRE",15345,15345,17414
17415,"GET_AND_BITWISE_OR_RELEASE",15345,15345,17415
17416,"GET_AND_BITWISE_OR",15345,15345,17416
17417,"GET_AND_ADD_RELEASE",15345,15345,17417
17418,"GET_AND_ADD_ACQUIRE",15345,15345,17418
17419,"GET_AND_ADD",15345,15345,17419
17420,"GET_AND_SET_RELEASE",15345,15345,17420
17421,"GET_AND_SET_ACQUIRE",15345,15345,17421
17422,"GET_AND_SET",15345,15345,17422
17423,"WEAK_COMPARE_AND_SET_RELEASE",15345,15345,17423
17424,"WEAK_COMPARE_AND_SET_ACQUIRE",15345,15345,17424
17425,"WEAK_COMPARE_AND_SET",15345,15345,17425
17426,"WEAK_COMPARE_AND_SET_PLAIN",15345,15345,17426
17427,"COMPARE_AND_EXCHANGE_RELEASE",15345,15345,17427
17428,"COMPARE_AND_EXCHANGE_ACQUIRE",15345,15345,17428
17429,"COMPARE_AND_EXCHANGE",15345,15345,17429
17430,"COMPARE_AND_SET",15345,15345,17430
17431,"SET_OPAQUE",15345,15345,17431
17432,"GET_OPAQUE",15345,15345,17432
17433,"SET_RELEASE",15345,15345,17433
17434,"GET_ACQUIRE",15345,15345,17434
17435,"SET_VOLATILE",15345,15345,17435
17436,"GET_VOLATILE",15345,15345,17436
17437,"SET",15345,15345,17437
17438,"GET",15345,15345,17438
17474,"length",87,17473,17474
17477,"isMonomorphicInReturnType",88,17405,17477
17478,"returnType",3285,17405,17478
17479,"COUNT",87,17405,17479
17480,"GET_AND_UPDATE",17405,17405,17480
17481,"COMPARE_AND_EXCHANGE",17405,17405,17481
17482,"COMPARE_AND_SET",17405,17405,17482
17483,"SET",17405,17405,17483
17484,"GET",17405,17405,17484
17696,"methodHandleTable",16247,14127,17696
17698,"methodTypeTable",17317,14127,17698
17700,"exact",88,14127,17700
