"ID of id","nodeName","ID of typeid","ID of parentid","ID of sourceid"
25780,"ERA",24779,24779,25780
25781,"YEAR",24779,24779,25781
25782,"YEAR_OF_ERA",24779,24779,25782
25783,"PROLEPTIC_MONTH",24779,24779,25783
25784,"MONTH_OF_YEAR",24779,24779,25784
25785,"ALIGNED_WEEK_OF_YEAR",24779,24779,25785
25786,"ALIGNED_WEEK_OF_MONTH",24779,24779,25786
25787,"EPOCH_DAY",24779,24779,25787
25788,"DAY_OF_YEAR",24779,24779,25788
25789,"DAY_OF_MONTH",24779,24779,25789
25790,"ALIGNED_DAY_OF_WEEK_IN_YEAR",24779,24779,25790
25791,"ALIGNED_DAY_OF_WEEK_IN_MONTH",24779,24779,25791
25792,"DAY_OF_WEEK",24779,24779,25792
25793,"AMPM_OF_DAY",24779,24779,25793
25794,"CLOCK_HOUR_OF_DAY",24779,24779,25794
25795,"HOUR_OF_DAY",24779,24779,25795
25796,"CLOCK_HOUR_OF_AMPM",24779,24779,25796
25797,"HOUR_OF_AMPM",24779,24779,25797
25798,"MINUTE_OF_DAY",24779,24779,25798
25799,"MINUTE_OF_HOUR",24779,24779,25799
25800,"SECOND_OF_DAY",24779,24779,25800
25801,"SECOND_OF_MINUTE",24779,24779,25801
25802,"MILLI_OF_DAY",24779,24779,25802
25803,"MILLI_OF_SECOND",24779,24779,25803
25804,"MICRO_OF_DAY",24779,24779,25804
25805,"MICRO_OF_SECOND",24779,24779,25805
25806,"NANO_OF_DAY",24779,24779,25806
25807,"NANO_OF_SECOND",24779,24779,25807
25855,"length",87,25854,25855
25858,"FOREVER",25808,25808,25858
25859,"ERAS",25808,25808,25859
25860,"MILLENNIA",25808,25808,25860
25861,"CENTURIES",25808,25808,25861
25862,"DECADES",25808,25808,25862
25863,"YEARS",25808,25808,25863
25864,"MONTHS",25808,25808,25864
25865,"WEEKS",25808,25808,25865
25866,"DAYS",25808,25808,25866
25867,"HALF_DAYS",25808,25808,25867
25868,"HOURS",25808,25808,25868
25869,"MINUTES",25808,25808,25869
25870,"SECONDS",25808,25808,25870
25871,"MILLIS",25808,25808,25871
25872,"MICROS",25808,25808,25872
25873,"NANOS",25808,25808,25873
26090,"length",87,26089,26090
26093,"STANDARD",26053,26053,26093
26094,"WALL",26053,26053,26094
26095,"UTC",26053,26053,26095
26532,"length",87,26531,26532
26687,"length",87,26686,26687
26866,"length",87,26865,26866
26882,"length",87,26881,26882
26984,"length",87,26983,26984
27000,"length",87,26999,27000
27009,"length",87,27008,27009
27012,"length",87,27011,27012
27022,"length",87,27021,27022
27025,"length",87,27024,27025
27040,"length",87,27039,27040
27043,"length",87,27042,27043
27192,"length",87,27191,27192
27202,"length",87,27201,27202
27230,"length",87,27229,27230
27239,"length",87,27238,27239
27266,"length",87,27265,27266
27277,"length",87,27276,27277
27334,"length",87,27333,27334
27373,"length",87,27372,27373
27377,"length",87,27376,27377
27389,"length",87,27388,27389
27422,"length",87,27421,27422
27426,"length",87,27425,27426
27437,"length",87,27436,27437
27517,"length",87,27516,27517
27533,"length",87,27532,27533
27637,"length",87,27636,27637
27651,"length",87,27650,27651
27760,"length",87,27759,27760
27773,"length",87,27772,27773
27784,"length",87,27783,27784
27797,"length",87,27796,27797
27814,"length",87,27813,27814
27827,"length",87,27826,27827
27842,"length",87,27841,27842
27845,"length",87,27844,27845
27857,"length",87,27856,27857
27860,"length",87,27859,27860
27991,"length",87,27990,27991
28197,"length",87,28196,28197
29087,"length",87,29086,29087
29090,"length",87,29089,29090
29106,"length",87,29105,29106
29109,"length",87,29108,29109
29249,"length",87,29248,29249
29254,"universe",29248,12163,29254
29255,"elementType",29245,12163,29255
29585,"length",87,29584,29585
29588,"extensionsKey",157,29553,29588
29589,"variantKey",157,29553,29589
29590,"countryKey",157,29553,29590
29591,"scriptKey",157,29553,29591
29592,"languageKey",157,29553,29592
29593,"FORMAT",29553,29553,29593
29594,"DISPLAY",29553,29553,29594
29627,"length",87,29626,29627
29630,"REJECT_EXTENDED_RANGES",29595,29595,29630
29631,"MAP_EXTENDED_RANGES",29595,29595,29631
29632,"IGNORE_EXTENDED_RANGES",29595,29595,29632
29633,"EXTENDED_FILTERING",29595,29595,29633
29634,"AUTOSELECT_FILTERING",29595,29595,29634
29670,"length",87,29669,29670
29673,"PART3",29635,29635,29673
29674,"PART1_ALPHA3",29635,29635,29674
29675,"PART1_ALPHA2",29635,29635,29675
29701,"MIN_WEIGHT",477,29676,29701
29702,"MAX_WEIGHT",477,29676,29702
29780,"length",87,29779,29780
29831,"serialVersionUID",2854,5223,29831
29832,"UNICODE_LOCALE_EXTENSION",7422,5223,29832
29833,"PRIVATE_USE_EXTENSION",7422,5223,29833
29834,"TAIWAN",5223,5223,29834
29835,"PRC",5223,5223,29835
29836,"CHINA",5223,5223,29836
29837,"CANADA_FRENCH",5223,5223,29837
29838,"CANADA",5223,5223,29838
29839,"US",5223,5223,29839
29840,"UK",5223,5223,29840
29841,"KOREA",5223,5223,29841
